,wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price_category
85,panel,9,17.0,38.7,7.3,55.743988,37.686545,0
86,block,8,14.0,39.0,6.0,55.722614,37.609236,0
87,block,12,12.0,39.2,4.1,55.770547,37.572136,0
88,monolith,4,7.0,39.0,10.0,55.730948,37.64401,1
89,panel,8,12.0,38.0,10.0,55.773363,37.709021,0
90,panel,17,17.0,38.0,7.1,55.74108,37.683877,0
91,brick,5,12.0,38.0,10.0,55.775636,37.684587,0
92,brick,2,14.0,38.0,8.6,55.73741,37.631757,0
93,brick,8,9.0,38.0,7.0,55.731774,37.611455,0
94,monolith,34,36.0,38.0,12.0,55.75133,37.526887,0
95,monolith,50,65.0,40.0,8.0,55.751143000000006,37.53373300000001,1
96,monolith,50,65.0,40.0,8.0,55.751143000000006,37.53373300000001,1
97,monolith,51,65.0,40.0,8.0,55.751143000000006,37.53373300000001,1
98,monolith,52,65.0,40.0,8.0,55.751143000000006,37.53373300000001,1
99,brick,3,8.0,42.7,5.0,55.773626,37.582071,0
100,monolith,5,14.0,40.14,10.0,55.77123100000001,37.642707,0
101,monolith,11,13.0,40.0,6.0,55.766116,37.567051,0
102,monolith,11,13.0,40.0,23.0,55.766116,37.567051,0
103,block,1,5.0,42.3,6.0,55.78625200000001,37.590138,0
104,panel,5,12.0,40.0,7.0,55.77715500000001,37.706919,0
105,block,3,12.0,40.0,7.0,55.768061,37.678514,0
106,brick,2,5.0,41.5,7.2,55.756715,37.553055,0
107,brick,3,5.0,41.0,6.0,55.761943,37.56485900000001,0
108,monolith,24,42.0,40.0,10.0,55.75133,37.526887,0
109,brick,9,14.0,42.0,8.3,55.778325,37.638647,0
110,brick,4,5.0,42.6,5.8,55.731495,37.563934,0
111,brick,1,3.0,42.0,5.0,55.771899,37.624094,0
112,block,1,9.0,40.1,7.0,55.726092,37.568614,0
113,brick,6,13.0,40.0,8.7,55.73741,37.631757,0
114,brick,3,5.0,40.4,5.8,55.752308,37.642905,0
115,brick,2,9.0,42.5,8.0,55.727516,37.632457,0
116,brick,7,8.0,42.4,5.4,55.722745,37.580786,0
117,monolith,5,12.0,40.0,10.0,55.766111,37.567869,0
118,brick,5,8.0,40.0,9.0,55.74587800000001,37.601007,1
119,brick,5,9.0,42.0,5.5,55.773768,37.68791,0
120,block,8,12.0,40.0,7.0,55.757197,37.559775,0
121,monolith,5,14.0,42.0,7.0,55.722614,37.609236,0
122,brick,7,9.0,42.1,6.0,55.732666,37.56547,0
123,brick,10,12.0,41.0,8.0,55.783235,37.588476,0
124,brick,1,5.0,44.0,6.0,55.762936,37.57112,0
125,monolith,6,6.0,44.0,8.0,55.72173100000001,37.572899,1
126,panel,6,12.0,44.4,8.0,55.77088199999999,37.571031,0
127,brick,2,5.0,44.0,6.0,55.75937,37.538431,0
128,panel,6,12.0,44.0,6.0,55.77088199999999,37.571031,0
129,brick,8,9.0,43.0,6.0,55.76496700000001,37.56547,0
130,whiteBrick,5,5.0,44.9,8.0,55.75704,37.657071,0
131,brick,4,5.0,43.1,5.0,55.76096999999999,37.571597,0
132,monolith,7,14.0,44.8,6.0,55.722274,37.609757,0
133,panel,6,12.0,44.4,7.0,55.77088199999999,37.571031,0
134,block,6,12.0,44.4,7.0,55.77088199999999,37.571031,0
135,panel,3,9.0,44.7,6.0,55.726239,37.636554,0
136,monolith,3,44.0,46.0,16.5,55.77080600000001,37.564212,0
137,panel,8,12.0,45.0,6.3,55.734126,37.671705,0
138,brick,2,9.0,47.0,12.0,55.770076,37.57298,0
139,monolith,31,44.0,45.4,15.0,55.77080600000001,37.564212,0
140,monolith,37,44.0,45.6,20.0,55.77080600000001,37.564212,0
141,monolith,44,44.0,45.5,14.0,55.77080600000001,37.564212,0
142,brick,6,8.0,45.0,6.0,55.78651,37.59348,0
143,monolith,7,18.0,45.3,10.0,55.77120600000001,37.658212,0
144,monolith,3,13.0,45.0,14.0,55.760915,37.55020800000001,0
145,brick,3,8.0,45.0,7.0,55.753134,37.521309,0
146,panel,3,12.0,45.0,6.3,55.734846,37.679278,0
147,brick,2,6.0,45.2,10.0,55.77629399999999,37.672163,0
148,brick,4,8.0,46.0,8.0,55.772639,37.585754,0
149,monolith,13,16.0,47.3,20.0,55.77120600000001,37.658212,0
150,monolith,7,18.0,45.3,10.0,55.77120600000001,37.658212,0
151,brick,3,6.0,46.0,9.0,55.754937,37.593686,0
152,brick,2,6.0,46.9,9.3,55.76191800000001,37.649624,0
153,brick,6,9.0,45.0,9.0,55.775115,37.61512000000001,1
154,panel,8,12.0,45.0,6.3,55.734329,37.675109,0
155,panel,4,17.0,45.0,8.0,55.740517,37.586338,0
156,brick,2,7.0,46.2,9.4,55.77629399999999,37.672163,0
157,monolithBrick,7,15.0,46.0,10.0,55.77120600000001,37.658212,0
158,brick,4,6.0,45.0,8.0,55.755991,37.652688,0
159,brick,1,12.0,46.0,9.0,55.764977,37.594387,0
160,brick,1,12.0,46.0,9.0,55.76499200000001,37.593722,0
161,monolith,5,17.0,46.5,5.0,55.7621,37.550064,0
162,monolith,3,12.0,45.0,14.0,55.761249,37.547153,0
163,brick,5,5.0,46.0,7.0,55.725478,37.563125,0
164,monolithBrick,24,44.0,49.2,13.7,55.77080600000001,37.564212,0
165,brick,4,9.0,48.3,7.3,55.76269300000001,37.565937,0
166,block,9,12.0,48.3,8.8,55.73181500000001,37.630122,0
167,brick,4,7.0,49.5,10.0,55.77629399999999,37.672163,0
168,brick,5,8.0,48.0,8.0,55.72229399999999,37.621534,0
169,monolith,74,95.0,49.2,9.8,55.749511,37.537083,1
170,panel,7,14.0,49.8,7.0,55.757561,37.588844,1
171,brick,1,5.0,49.2,6.3,55.76092,37.541198,0
172,monolith,38,44.0,49.5,14.0,55.77080600000001,37.564212,0
173,brick,5,8.0,50.0,8.0,55.768841,37.586922,0
174,monolith,69,80.0,50.0,20.0,55.749511,37.537083,1
175,brick,11,14.0,49.2,14.0,55.72214200000001,37.618569,1
176,brick,3,13.0,48.0,9.0,55.744191,37.594863,1
177,brick,4,10.0,50.0,9.0,55.740005,37.594638,1
178,brick,1,5.0,50.9,8.8,55.786759,37.599049,0
179,panel,4,16.0,52.0,9.0,55.787153,37.622819,0
180,monolith,3,19.0,50.0,10.0,55.771545,37.568956,0
181,brick,5,9.0,52.0,8.0,55.742509,37.578442,0
182,brick,9,14.0,52.9,9.0,55.77843100000001,37.611087,1
183,panel,2,9.0,52.0,6.0,55.733939,37.676169,0
184,block,15,16.0,50.5,10.9,55.790651,37.640093,0
185,brick,3,14.0,52.0,8.7,55.734141,37.683221,0
186,brick,2,5.0,51.0,8.0,55.777889,37.664833,0
187,block,5,12.0,50.9,9.8,55.744059,37.673735,0
188,panel,3,12.0,51.5,9.8,55.726507,37.633787,0
189,brick,1,4.0,50.0,6.6,55.767073,37.568632,0
190,brick,3,5.0,51.6,9.8,55.72306999999999,37.631613,0
191,block,8,16.0,50.0,11.0,55.790651,37.640093,0
192,brick,4,5.0,50.6,6.3,55.774467,37.581613,0
193,brick,5,16.0,51.0,10.0,55.76463199999999,37.582592,0
194,brick,1,3.0,50.7,7.2,55.77717,37.608868,0
195,monolith,5,8.0,51.0,8.0,55.774958,37.672971,0
196,block,20,24.0,51.3,7.3,55.753022,37.58888,0
197,brick,7,8.0,51.7,12.0,55.771829,37.58638300000001,0
198,brick,9,14.0,51.0,8.5,55.73846500000001,37.629888,1
199,whiteBrick,5,5.0,50.0,4.5,55.762176,37.593695,1
200,monolith,76,95.0,50.3,10.6,55.749511,37.537083,1
201,block,9,12.0,51.6,9.5,55.789826,37.638539,0
202,monolith,2,16.0,51.6,8.5,55.740735,37.648088,0
203,block,13,14.0,52.0,9.5,55.769874,37.675595,0
204,monolith,8,16.0,50.4,10.0,55.77430500000001,37.642132,0
205,brick,4,9.0,50.0,11.0,55.770573,37.562955,0
206,brick,3,7.0,50.0,8.0,55.775965,37.672495,0
207,panel,1,12.0,52.0,9.0,55.787346,37.590012,0
208,brick,2,9.0,52.1,8.0,55.746015,37.57806400000001,0
209,monolithBrick,6,9.0,52.3,7.0,55.775545,37.672118,0
210,monolith,12,18.0,53.0,14.0,55.77120600000001,37.658212,0
211,panel,20,24.0,54.0,7.0,55.753154,37.594036,0
212,brick,5,8.0,54.0,9.0,55.744875,37.679044,0
213,brick,6,6.0,53.0,8.0,55.786738,37.633176,0
214,whiteBrick,4,9.0,54.9,7.9,55.737137,37.651322,0
215,monolith,36,46.0,54.8,10.0,55.75133,37.526887,1
216,brick,5,5.0,54.0,6.2,55.735155000000006,37.589195,0
217,monolith,45,46.0,54.3,9.0,55.75133,37.526887,1
218,block,5,10.0,54.0,10.0,55.787811,37.640668,0
219,brick,7,8.0,54.9,5.3,55.772639,37.585754,0
220,panel,12,16.0,54.0,7.0,55.746056,37.593542,0
221,monolithBrick,4,14.0,54.6,10.0,55.721447,37.626241,0
222,brick,1,6.0,53.3,9.0,55.765478,37.595833,0
223,monolith,3,7.0,54.2,14.0,55.775545,37.672118,0
224,monolith,45,46.0,54.3,10.0,55.749795,37.526016,0
225,brick,4,4.0,53.6,10.0,55.754294,37.587533,1
226,monolith,10,21.0,53.0,10.0,55.761771,37.549184,1
227,brick,6,8.0,54.6,7.0,55.738916,37.58464,1
228,brick,2,14.0,53.0,8.0,55.733183,37.683922,0
229,panel,7,12.0,53.0,9.0,55.74061800000001,37.66645,0
230,brick,4,5.0,53.0,5.0,55.774629,37.627696,0
231,whiteBrick,5,5.0,54.5,6.5,55.774467,37.581613,0
232,brick,11,12.0,53.8,10.0,55.76786800000001,37.555849,0
233,monolith,74,97.0,54.4,14.0,55.749511,37.537083,1
234,brick,8,14.0,56.0,9.0,55.779347,37.611437,1
235,monolith,11,21.0,56.4,20.0,55.761629000000006,37.548151,1
236,whiteBrick,2,9.0,57.5,9.0,55.776877,37.659371,0
237,brick,2,4.0,57.4,10.7,55.74865500000001,37.656478,0
238,brick,5,14.0,55.0,8.0,55.76463199999999,37.582592,0
239,monolith,4,21.0,57.0,26.8,55.755464,37.547342,1
240,monolith,11,21.0,55.57,18.8,55.761771,37.549184,1
241,brick,2,12.0,57.5,8.0,55.73265600000001,37.587919,1
242,brick,3,5.0,56.2,7.0,55.72503199999999,37.57563,0
243,brick,7,14.0,56.0,8.4,55.757561,37.588844,1
244,brick,6,9.0,55.0,5.0,55.773768,37.68791,0
245,panel,7,17.0,57.9,12.9,55.741825,37.681074,0
246,block,5,12.0,55.0,10.0,55.787811,37.640668,0
247,monolith,4,11.0,55.0,10.0,55.78480500000001,37.656667,0
248,whiteBrick,2,9.0,57.4,8.0,55.776877,37.659371,0
249,whiteBrick,6,7.0,57.8,9.0,55.765083,37.655526,0
250,whiteBrick,2,5.0,56.0,7.0,55.773024,37.595582,0
251,brick,5,6.0,56.0,8.0,55.78794300000001,37.592105,0
252,monolithBrick,15,16.0,56.0,14.0,55.77430500000001,37.642132,0
253,brick,6,8.0,55.0,8.0,55.737137,37.651322,0
254,panel,24,24.0,55.0,8.0,55.753058,37.58579,0
255,brick,6,6.0,57.2,7.0,55.755023,37.59842,0
256,monolith,45,46.0,55.0,9.0,55.75133,37.526887,0
257,brick,3,9.0,56.5,8.9,55.77709399999999,37.709731,0
258,brick,8,9.0,56.0,6.0,55.75811899999999,37.538548,0
259,brick,4,5.0,56.4,10.0,55.753387,37.544306,0
260,brick,2,9.0,57.7,5.4,55.767357,37.556092,0
261,monolith,5,7.0,56.4,13.7,55.783509,37.670303,0
262,block,4,6.0,55.0,9.0,55.790246,37.632655,0
263,monolith,12,46.0,56.0,9.0,55.75133,37.526887,0
264,brick,9,9.0,56.0,5.2,55.724642,37.572342,0
265,brick,5,5.0,55.1,6.0,55.75129,37.57927700000001,0
266,brick,9,14.0,55.7,9.5,55.721447,37.626241,0
267,brick,1,5.0,57.0,7.0,55.73719300000001,37.623573,0
268,monolith,5,5.0,58.0,9.0,55.763984,37.657655,0
269,monolith,5,5.0,58.0,27.5,55.774958,37.672971,1
270,panel,8,9.0,58.0,7.0,55.783139,37.642671,0
271,monolithBrick,2,8.0,58.0,6.0,55.767357,37.556092,0
272,whiteBrick,11,15.0,58.4,9.0,55.780097,37.668264,0
273,brick,4,8.0,58.0,10.0,55.763933,37.564401,0
274,brick,2,8.0,59.0,10.0,55.73925,37.643704,0
275,monolith,1,9.0,59.2,11.0,55.76794399999999,37.582781,1
276,brick,4,9.0,58.4,6.0,55.731901,37.615668,1
277,panel,4,9.0,58.4,5.0,55.731901,37.615668,1
278,monolith,3,14.0,58.1,10.0,55.786703,37.617474,1
279,brick,2,16.0,58.0,11.0,55.771925,37.572369,0
280,brick,3,8.0,60.0,7.0,55.77813199999999,37.598169,0
281,brick,7,9.0,58.0,8.5,55.775054,37.588054,1
282,whiteBrick,4,7.0,60.0,8.0,55.76104100000001,37.573366,1
283,monolith,9,25.0,58.7,21.5,55.758402,37.549282,1
284,panel,11,14.0,59.4,7.6,55.734151,37.61892,1
285,brick,3,4.0,60.0,9.0,55.769048,37.604322,1
286,monolith,4,10.0,58.0,22.7,55.783357,37.599381,1
287,brick,7,10.0,58.0,7.0,55.730826,37.631559,0
288,monolith,2,6.0,62.0,10.0,55.746203,37.636437,1
289,monolithBrick,5,5.0,62.0,20.0,55.759436,37.605733,1
290,brick,5,5.0,62.0,20.0,55.759436,37.605733,1
291,monolith,9,79.0,62.0,12.0,55.751143000000006,37.53373300000001,1
292,monolith,7,79.0,62.0,12.0,55.751143000000006,37.53373300000001,1
293,brick,6,8.0,60.0,9.0,55.722107,37.57669,1
294,monolith,8,11.0,62.9,12.0,55.725118,37.572836,2
295,brick,1,4.0,61.7,7.0,55.72961,37.571363,0
296,brick,1,7.0,60.0,8.0,55.75661899999999,37.65399,0
297,brick,12,12.0,60.0,8.0,55.74446,37.613018,2
298,brick,1,5.0,62.0,6.6,55.73256,37.663737,0
299,panel,4,12.0,62.7,7.5,55.734846,37.679278,0
300,brick,1,5.0,62.4,7.0,55.78938,37.597782,0
301,brick,5,5.0,60.0,9.0,55.779028,37.60964,0
302,brick,4,7.0,60.3,8.6,55.766466,37.640668,0
303,brick,4,5.0,60.2,11.1,55.774259,37.593021,0
304,brick,1,4.0,61.7,7.0,55.72961,37.571363,0
305,brick,3,6.0,62.0,7.0,55.758575,37.579098,1
306,monolith,2,10.0,60.0,25.0,55.766116,37.567051,1
307,brick,4,6.0,60.0,7.0,55.761173,37.599507,1
308,monolith,10,21.0,62.0,10.0,55.761644,37.550567,1
309,brick,5,13.0,60.0,10.0,55.763630000000006,37.610799,1
310,brick,7,11.0,62.4,9.7,55.716133,37.576492,1
311,brick,5,6.0,60.6,9.0,55.76539200000001,37.610287,1
312,whiteBrick,3,4.0,60.0,9.0,55.769048,37.604322,1
313,brick,3,5.0,61.0,8.3,55.768638,37.67763400000001,0
314,panel,7,12.0,60.0,7.7,55.753889,37.657305,0
315,brick,5,5.0,61.4,6.8,55.735155000000006,37.589195,0
316,panel,3,12.0,62.2,7.1,55.785878,37.60103400000001,0
317,brick,1,5.0,60.0,11.0,55.771337,37.635566,0
318,brick,6,9.0,62.5,10.5,55.773034,37.67576500000001,0
319,brick,6,6.0,60.0,7.0,55.769059,37.630715,0
320,panel,7,9.0,63.3,7.0,55.782856,37.59232100000001,0
321,brick,8,8.0,64.8,7.0,55.782198,37.670645,0
322,panel,2,14.0,63.0,7.0,55.721351,37.624409,0
323,brick,3,5.0,64.2,9.0,55.774629,37.627696,0
324,block,1,9.0,64.0,9.5,55.733812,37.661787,0
325,brick,3,3.0,63.0,7.0,55.748148,37.67608,0
326,panel,7,16.0,63.0,11.1,55.776006,37.646274,0
327,monolithBrick,5,7.0,63.0,10.0,55.77629399999999,37.672163,0
328,brick,4,6.0,64.3,8.3,55.725326,37.567051,0
329,brick,2,6.0,63.0,18.0,55.76191800000001,37.649624,1
330,monolith,6,14.0,63.1,12.5,55.766116,37.567051,1
331,monolithBrick,7,7.0,64.0,10.0,55.725275,37.624822,1
332,monolith,7,17.0,63.0,15.0,55.791289,37.598959,1
333,brick,7,10.0,64.0,8.5,55.754801,37.58455,1
334,brick,4,8.0,63.9,8.0,55.743497,37.633733,1
335,monolith,7,10.0,63.0,24.3,55.783357,37.599381,1
336,monolith,7,10.0,63.0,24.3,55.783357,37.599381,1
337,monolith,2,5.0,63.9,10.0,55.764425,37.65214,1
338,brick,7,10.0,63.3,12.0,55.736422,37.651735,0
339,monolith,6,44.0,66.1,14.0,55.77080600000001,37.564212,0
340,monolith,9,13.0,65.4,15.0,55.768527,37.592132,1
341,brick,4,6.0,65.0,8.0,55.722117,37.627867,0
342,monolith,5,21.0,65.3,8.4,55.737709,37.689932,0
343,brick,5,7.0,65.5,7.0,55.72835300000001,37.564913,0
344,block,4,12.0,66.1,28.0,55.738292,37.676062,0
345,brick,5,11.0,66.1,9.0,55.754897,37.569872,1
346,panel,2,12.0,67.0,11.0,55.777464,37.690911,0
347,brick,1,5.0,66.0,8.0,55.759765,37.551061,0
348,panel,4,12.0,65.0,7.0,55.785878,37.60103400000001,0
349,block,4,12.0,66.0,28.0,55.738292,37.676062,0
350,brick,4,4.0,67.5,5.0,55.767149,37.634892,1
351,brick,4,4.0,65.4,7.0,55.746375,37.592033,1
352,brick,2,5.0,65.0,10.0,55.745149,37.59692,1
353,brick,5,6.0,67.0,11.0,55.729807,37.62978,1
354,brick,3,9.0,65.5,10.0,55.76570600000001,37.57927700000001,1
355,brick,6,9.0,66.0,10.0,55.761502,37.598663,1
356,monolith,11,85.0,65.0,15.0,55.750028,37.534397,1
357,monolith,11,85.0,65.0,15.0,55.74938,37.534092,1
358,whiteBrick,14,24.0,65.0,9.0,55.74711,37.642815,1
359,block,3,16.0,65.5,8.0,55.77579300000001,37.689042,0
360,monolith,2,16.0,65.0,8.1,55.787923,37.632224,0
361,brick,2,5.0,67.0,8.0,55.737345,37.65876,0
362,monolith,3,14.0,67.0,8.0,55.75461800000001,37.582682,0
363,brick,5,7.0,66.0,3.3,55.77629399999999,37.672163,0
364,brick,7,15.0,66.4,8.4,55.731075,37.633985,0
365,monolith,10,19.0,67.1,14.5,55.774548,37.641566,0
366,monolith,38,65.0,68.0,12.0,55.751143000000006,37.53373300000001,1
367,monolith,37,65.0,68.0,12.0,55.751143000000006,37.53373300000001,1
368,brick,2,12.0,69.0,7.2,55.748665,37.57687,1
369,monolith,33,44.0,68.0,20.0,55.77080600000001,37.564212,1
370,brick,5,7.0,68.0,15.0,55.754198,37.598645,2
371,brick,7,8.0,69.2,7.2,55.782198,37.670645,0
372,brick,2,8.0,69.0,9.0,55.755783,37.567985,1
373,brick,5,12.0,69.0,9.0,55.734648,37.658248,1
374,monolith,2,10.0,68.8,22.0,55.75190300000001,37.664069,1
375,whiteBrick,5,8.0,69.2,8.8,55.75849300000001,37.613198,1
376,brick,1,6.0,68.0,5.5,55.737633,37.67422,0
377,brick,7,7.0,70.0,6.0,55.788054,37.635979,0
378,monolith,25,44.0,69.0,15.0,55.77080600000001,37.564212,0
379,monolith,5,10.0,68.3,14.0,55.77517,37.674022,1
380,whiteBrick,4,8.0,70.0,8.0,55.742215,37.585035,1
381,monolith,3,6.0,68.0,15.0,55.744774,37.659865,3
382,monolith,3,14.0,72.0,20.0,55.766111,37.567869,1
383,brick,5,12.0,72.0,6.4,55.74711,37.642815,1
384,monolithBrick,5,25.0,70.0,12.0,55.756401,37.53706500000001,1
385,brick,3,6.0,70.0,12.0,55.77324100000001,37.603657,1
386,brick,7,12.0,72.0,15.0,55.72214200000001,37.618569,2
387,brick,1,5.0,71.2,6.0,55.773682,37.583436,0
388,brick,1,3.0,70.3,7.0,55.741247,37.637425,1
389,brick,8,8.0,72.0,7.8,55.771646,37.584469,1
390,monolith,6,17.0,72.71,12.1,55.761644,37.550567,2
391,whiteBrick,3,6.0,70.4,7.1,55.742889,37.663422,1
392,brick,1,5.0,72.1,7.0,55.77856800000001,37.643965,0
393,panel,3,22.0,72.5,9.8,55.745473,37.67784,0
394,whiteBrick,7,7.0,70.0,8.0,55.777616,37.66097,0
395,brick,3,14.0,70.5,8.0,55.779428,37.639222,1
396,whiteBrick,2,5.0,72.1,8.3,55.7242,37.57554,1
397,whiteBrick,2,8.0,71.0,7.5,55.773596,37.590506,1
398,brick,3,6.0,70.4,7.1,55.742889,37.663422,1
399,brick,5,5.0,71.0,8.0,55.750722,37.582412,1
400,monolith,7,79.0,72.0,19.0,55.751143000000006,37.53373300000001,1
401,monolith,7,79.0,72.0,19.0,55.751143000000006,37.53373300000001,1
402,brick,4,8.0,72.6,27.9,55.773596,37.590506,1
403,brick,4,7.0,72.9,9.8,55.76174,37.608311,1
404,whiteBrick,5,7.0,72.8,7.8,55.764784,37.621004,1
405,brick,2,4.0,71.0,7.0,55.765721,37.617518,1
406,brick,1,2.0,72.0,11.0,55.744444,37.599408,1
407,brick,6,8.0,70.0,22.0,55.760241,37.611347,2
408,monolith,6,17.0,72.71,12.1,55.761644,37.550567,2
409,monolith,3,10.0,74.0,20.0,55.764101,37.66044,1
410,brick,3,6.0,73.0,6.0,55.754086,37.652661,1
411,brick,11,14.0,73.5,9.5,55.738155000000006,37.628604,1
412,brick,9,14.0,73.1,10.0,55.78871700000001,37.629888,0
413,brick,2,4.0,73.0,10.0,55.781286,37.600388,0
414,brick,4,5.0,74.0,12.0,55.773682,37.583436,0
415,brick,5,5.0,74.0,12.1,55.73054200000001,37.563413,0
416,panel,1,16.0,74.0,11.0,55.776451,37.644252,0
417,brick,3,5.0,74.0,9.2,55.772451,37.594755,1
418,brick,2,6.0,74.0,8.0,55.775064,37.59666,1
419,brick,2,5.0,73.4,8.4,55.76286500000001,37.654071,1
420,brick,9,15.0,74.2,8.0,55.779034,37.615893,1
421,brick,8,12.0,73.0,10.5,55.735839,37.612551,2
422,brick,5,5.0,73.6,6.0,55.767347,37.652634,0
423,panel,7,17.0,74.4,12.5,55.74304100000001,37.687659,0
424,brick,6,17.0,74.0,8.0,55.774659,37.68213400000001,1
425,brick,7,10.0,73.0,9.0,55.736422,37.651735,1
426,brick,8,16.0,75.0,9.0,55.78115,37.667087,1
427,brick,9,9.0,75.0,9.0,55.736422,37.651735,1
428,brick,6,10.0,74.3,11.5,55.75060600000001,37.580355,1
